no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_status
2,0,0,9600000,29900000,12,778,50700000,0
0,1,1,4100000,12200000,8,417,17000000,1
3,0,0,9100000,29700000,20,506,57700000,1
3,0,0,8200000,30700000,8,467,52700000,1
5,1,1,9800000,24200000,20,382,55000000,1
0,0,1,4800000,13500000,10,319,33900000,1
5,0,0,8700000,33000000,4,678,70800000,0
2,0,1,5700000,15000000,20,382,36700000,1
0,0,1,800000,2200000,20,782,5500000,0
5,1,0,1100000,4300000,10,388,9500000,1
4,0,1,2900000,11200000,2,547,25400000,0
2,1,1,6700000,22700000,18,538,47900000,1
3,1,1,5000000,11600000,16,311,34900000,1
2,0,1,9100000,31500000,14,679,53300000,0
1,1,0,1900000,7400000,6,469,10900000,1
5,1,0,4700000,10700000,10,794,30400000,0
2,0,1,500000,1600000,4,663,3400000,0
4,1,1,2900000,9400000,14,780,16700000,0
2,0,0,2700000,10300000,10,736,10500000,0
5,0,0,6300000,14600000,12,652,43200000,0
2,0,0,5000000,19400000,12,315,35200000,1
4,0,0,5800000,14000000,16,530,42700000,1
4,0,1,6500000,25700000,18,311,42800000,1
0,1,1,500000,1400000,2,551,2900000,0
0,1,0,4900000,9800000,16,324,25800000,1
5,1,0,3100000,9500000,20,514,20200000,1
4,0,0,8200000,28100000,12,696,54600000,0
4,1,1,2400000,5600000,4,662,16600000,0
5,1,1,7000000,24000000,6,336,51400000,1
3,1,1,9000000,31500000,10,850,75900000,0
2,1,0,9800000,25300000,12,313,60200000,1
2,0,0,5700000,12000000,6,363,37000000,1
1,1,1,800000,1600000,10,436,4100000,1
5,1,1,8400000,22000000,2,830,33000000,0
3,0,0,4900000,11900000,8,612,35700000,0
2,0,1,1700000,3400000,8,691,12400000,0
3,1,0,1600000,6200000,18,636,10800000,0
5,0,1,8000000,27200000,6,348,30500000,1
5,0,0,3600000,7700000,16,830,21200000,0
3,1,1,1500000,5100000,6,352,6800000,1
1,0,0,7800000,18100000,2,712,50500000,0
2,1,0,9100000,24900000,16,822,70600000,0
3,0,0,1400000,3400000,6,540,6400000,1
2,0,1,800000,2300000,12,342,6100000,1
5,0,0,6500000,13400000,18,787,40100000,0
4,0,0,8000000,27800000,16,331,51600000,1
3,1,1,4200000,14600000,6,679,22900000,0
1,0,1,4900000,19100000,14,677,38700000,0
3,1,0,5500000,20500000,12,634,36100000,0
1,1,1,9500000,19100000,16,662,60000000,0
4,0,0,7300000,25400000,16,502,33300000,1
2,0,0,8700000,24700000,10,435,43400000,1
5,1,0,3800000,7600000,4,689,21500000,0
1,1,1,8400000,23000000,12,657,70300000,0
2,0,1,5100000,19700000,20,590,39500000,0
5,1,0,6700000,24500000,12,818,29300000,0
2,1,0,4300000,10600000,18,431,18100000,1
5,0,1,9300000,30500000,18,841,72900000,0
1,0,0,7400000,18400000,20,421,49200000,1
4,1,1,5500000,18200000,16,797,28200000,0
2,1,0,8500000,18900000,18,478,77400000,1
3,1,1,9600000,30500000,18,669,42400000,0
5,1,1,8800000,28900000,6,365,65100000,1
3,1,1,3300000,7500000,20,586,20600000,0
4,0,1,3900000,12300000,18,784,30400000,0
1,0,0,4100000,10300000,12,364,33300000,1
3,1,0,8300000,29100000,10,715,54000000,0
0,1,1,2700000,10100000,20,693,9200000,1
4,0,0,5600000,12400000,4,777,25900000,0
0,0,0,1900000,5000000,12,312,14100000,1
4,1,1,500000,1500000,20,340,2800000,1
5,0,1,5300000,18600000,4,386,28500000,0
5,1,0,7000000,18300000,4,418,59200000,1
3,1,1,5800000,16700000,16,735,31500000,0
2,1,0,2600000,8400000,6,494,17900000,1
2,1,0,1900000,6500000,18,671,9000000,0
4,0,0,5700000,14800000,16,697,41300000,0
0,0,0,9000000,33500000,8,801,67000000,0
